experiment,n_patients,total_cfs,valid_cfs,validity_%,solved_%,avg_nchanged,avg_nchanged_all,avg_gower_valid,avg_risk_before_%,avg_risk_after_%,min_risk_after_%,risk_reduction_%,avg_gen_time_sec,top_features,csv_path
XGBoost_genetic_prange_lowthres_2026-05-04_lock_bmi_smoking,9,135,73,54.074074074074076,88.9,,,,9.2,2.5,0.3,72.8,1.55,bmi: 100%  |  etfruit: 47%  |  dosprt: 44%  |  eatveg: 32%,cf_outputs\feature_locking_tests\XGBoost_genetic_prange_lowthres_2026-05-04_lock_bmi_smoking\annotated.csv
RandomForest_genetic_prange_highthres_2026-04-29,9,83,38,45.78313253012048,100.0,,,,10.4,3.0,0.0,71.2,2.09,bmi: 100%  |  slprl: 39%  |  alcfreq: 32%  |  etfruit: 24%,cf_outputs\generation_1\RandomForest_genetic_prange_highthres_2026-04-29\annotated.csv
RandomForest_random_prange_highthres_2026-04-29,9,90,22,24.444444444444443,66.7,,,,11.0,3.2,0.0,70.9,114.28,bmi: 64%  |  dosprt: 27%  |  alcfreq: 18%  |  cgtsmok: 14%,cf_outputs\generation_1\RandomForest_random_prange_highthres_2026-04-29\annotated.csv
RandomForest_genetic_prange_highthres_2026-04-29,9,83,38,45.78313253012048,100.0,,,,10.4,3.0,0.0,71.2,2.09,bmi: 100%  |  slprl: 39%  |  alcfreq: 32%  |  etfruit: 24%,cf_outputs\gen_1_experiments\RandomForest_genetic_prange_highthres_2026-04-29\annotated.csv
RandomForest_random_prange_highthres_2026-04-29,9,90,22,24.444444444444443,66.7,,,,11.0,3.2,0.0,70.9,114.28,bmi: 64%  |  dosprt: 27%  |  alcfreq: 18%  |  cgtsmok: 14%,cf_outputs\gen_1_experiments\RandomForest_random_prange_highthres_2026-04-29\annotated.csv
XGBoost_thres0.5_2026-05-08_noise_sigma1,9,90,24,26.666666666666668,77.8,2.71,2.58,0.21,6.9,3.0,0.0,56.5,0.92,bmi: 100%  |  dosprt: 71%  |  etfruit: 33%  |  alcfreq: 29%,cf_outputs\noise_tests\xgb_baseline\XGBoost_thres0.5_2026-05-08_noise_sigma1\annotated.csv
base_rf_highthres_2026-05-06,9,84,35,41.66666666666667,100.0,2.43,2.2,0.9461,10.2,2.8,0.0,72.5,2.65,bmi: 100%  |  alcfreq: 37%  |  slprl: 37%  |  etfruit: 23%,cf_outputs\predictors_vs_threshold\baseline\base_rf_highthres_2026-05-06\annotated.csv
base_rf_lowthres_2026-05-05,9,61,31,50.81967213114754,100.0,2.26,2.2,0.9495,9.0,2.8,0.0,68.9,2.66,bmi: 100%  |  slprl: 35%  |  alcfreq: 29%  |  dosprt: 26%,cf_outputs\predictors_vs_threshold\baseline\base_rf_lowthres_2026-05-05\annotated.csv
base_rf_midthres_2026-05-06,9,90,34,37.77777777777778,88.9,2.26,2.19,0.9402,11.0,3.1,0.0,71.8,2.6,bmi: 100%  |  slprl: 32%  |  alcfreq: 26%  |  etfruit: 21%,cf_outputs\predictors_vs_threshold\baseline\base_rf_midthres_2026-05-06\annotated.csv
base_xgb_highthres_2026-05-06,9,82,47,57.3170731707317,77.8,2.32,2.2,0.9273,9.8,2.9,0.0,70.4,1.04,bmi: 100%  |  etfruit: 28%  |  alcfreq: 28%  |  slprl: 23%,cf_outputs\predictors_vs_threshold\baseline\base_xgb_highthres_2026-05-06\annotated.csv
base_xgb_lowthres_2026-05-06,9,69,39,56.52173913043478,77.8,2.36,2.13,0.9401,9.1,2.7,0.1,70.3,1.1,bmi: 100%  |  etfruit: 31%  |  slprl: 26%  |  alcfreq: 23%,cf_outputs\predictors_vs_threshold\baseline\base_xgb_lowthres_2026-05-06\annotated.csv
base_xgb_midthres_2026-05-06,9,90,42,46.666666666666664,88.9,2.36,2.16,0.9228,10.2,2.5,0.0,75.5,1.05,bmi: 100%  |  etfruit: 29%  |  eatveg: 26%  |  slprl: 24%,cf_outputs\predictors_vs_threshold\baseline\base_xgb_midthres_2026-05-06\annotated.csv
RandomForest_thres0.5_2026-05-07,9,89,22,24.719101123595504,88.9,2.64,2.28,0.9276,25.7,9.9,0.0,61.5,9.71,bmi: 100%  |  alcfreq: 36%  |  dosprt: 36%  |  etfruit: 27%,cf_outputs\predictors_vs_threshold\SMOTE\base_predictors\RandomForest_thres0.5_2026-05-07\annotated.csv
RandomForest_thres0.9_2026-05-07,9,58,26,44.827586206896555,88.9,2.85,2.33,0.9393,21.6,9.7,0.0,55.1,9.83,bmi: 100%  |  alcfreq: 42%  |  dosprt: 38%  |  etfruit: 31%,cf_outputs\predictors_vs_threshold\SMOTE\base_predictors\RandomForest_thres0.9_2026-05-07\annotated.csv
