experiment,explainer_type,ml_model_type,use_permitted_range,total_cfs_requested,maxiterations,stopping_threshold,n_patients,total_cfs,valid_cfs,validity_%,solved_%,actionable_%,avg_nchanged,avg_nchanged_all,avg_gower_valid,avg_risk_before,avg_risk_after,min_risk_after,risk_reduction_%,total_gen_time_sec,avg_gen_time_sec,top_features,csv_path
RandomForest_thres0.5_2026-05-11,genetic,RandomForest,True,10,1000,0.50,9,89,28,31.5%,100.0%,89.9%,2.50,2.35,0.19,0.2571,0.1194,0.0000,70.1,86.48,9.61,bmi: 100%  |  alcfreq: 36%  |  slprl: 29%  |  dosprt: 29%,predictors_vs_threshold/SMOTE/base_predictors/RandomForest_thres0.5_2026-05-11
RandomForest_thres0.9_2026-05-11,genetic,RandomForest,True,10,1000,0.90,9,56,23,41.1%,88.9%,89.3%,2.57,2.25,0.21,0.2042,0.1016,0.0000,71.9,144.35,16.04,bmi: 100%  |  alcfreq: 39%  |  dosprt: 39%  |  etfruit: 30%,predictors_vs_threshold/SMOTE/base_predictors/RandomForest_thres0.9_2026-05-11
XGBoost_thres0.5_2026-05-11,genetic,XGBoost,True,10,1000,0.50,9,90,30,33.3%,55.6%,88.9%,2.83,2.41,0.25,0.3452,0.1490,0.0010,74.5,9.40,1.04,bmi: 100%  |  dosprt: 43%  |  alcfreq: 40%  |  etfruit: 37%,predictors_vs_threshold/SMOTE/base_predictors/XGBoost_thres0.5_2026-05-11
XGBoost_thres0.9_2026-05-11,genetic,XGBoost,True,10,1000,0.90,9,50,21,42.0%,66.7%,94.0%,2.86,2.42,0.21,0.2807,0.1044,0.0021,77.9,9.55,1.06,bmi: 100%  |  alcfreq: 52%  |  dosprt: 48%  |  eatveg: 29%,predictors_vs_threshold/SMOTE/base_predictors/XGBoost_thres0.9_2026-05-11
RandomForest_thres0.5_2026-05-11,genetic,RandomForest,True,10,1000,0.50,9,89,8,9.0%,33.3%,88.8%,3.38,2.39,0.21,0.3461,0.1402,0.0826,65.7,140.61,15.62,bmi: 100%  |  alcfreq: 50%  |  slprl: 50%  |  dosprt: 50%,predictors_vs_threshold/SMOTE/gridsearched_predictors/RandomForest_thres0.5_2026-05-11
XGBoost_thres0.5_2026-05-11,genetic,XGBoost,True,10,1000,0.50,9,87,17,19.5%,55.6%,88.5%,3.24,2.37,0.21,0.3933,0.1828,0.0933,63.3,100.08,11.12,bmi: 100%  |  alcfreq: 59%  |  dosprt: 53%  |  etfruit: 35%,predictors_vs_threshold/SMOTE/gridsearched_predictors/XGBoost_thres0.5_2026-05-11
RandomForest_thres0.1_2026-05-11,genetic,RandomForest,True,10,1000,0.10,9,63,41,65.1%,100.0%,88.9%,2.37,2.25,0.18,0.0941,0.0264,0.0000,74.8,24.31,2.70,bmi: 100%  |  alcfreq: 32%  |  slprl: 27%  |  dosprt: 27%,predictors_vs_threshold/baseline/RandomForest_thres0.1_2026-05-11
RandomForest_thres0.5_2026-05-11,genetic,RandomForest,True,10,1000,0.50,9,90,38,42.2%,100.0%,88.9%,2.32,2.20,0.21,0.1100,0.0333,0.0000,74.1,23.60,2.62,bmi: 100%  |  slprl: 39%  |  alcfreq: 32%  |  etfruit: 18%,predictors_vs_threshold/baseline/RandomForest_thres0.5_2026-05-11
RandomForest_thres0.9_2026-05-11,genetic,RandomForest,True,10,1000,0.90,9,83,39,47.0%,100.0%,88.0%,2.38,2.31,0.19,0.1012,0.0280,0.0000,76.9,23.38,2.60,bmi: 100%  |  slprl: 36%  |  alcfreq: 33%  |  dosprt: 31%,predictors_vs_threshold/baseline/RandomForest_thres0.9_2026-05-11
XGBoost_thres0.1_2026-05-11,genetic,XGBoost,True,10,1000,0.10,9,70,39,55.7%,77.8%,92.9%,2.15,2.06,0.17,0.0881,0.0225,0.0003,79.1,10.56,1.17,bmi: 100%  |  etfruit: 33%  |  slprl: 21%  |  cgtsmok: 18%,predictors_vs_threshold/baseline/XGBoost_thres0.1_2026-05-11
