experiment,explainer_type,ml_model_type,use_permitted_range,total_cfs_requested,maxiterations,stopping_threshold,n_patients,total_cfs,valid_cfs,validity_%,solved_%,actionable_%,avg_nchanged,avg_nchanged_all,avg_gower_valid,avg_risk_before_%,avg_risk_after_%,min_risk_after_%,risk_reduction_%,total_gen_time_sec,avg_gen_time_sec,top_features,csv_path
RF_highthres_2026-04-21,genetic,RandomForest,False,10,1000,0.90,9,85,31,36.5%,88.9%,49.4%,3.77,3.52,0.24,11.0,3.8,0.0,76.5,18.89,2.10,bmi: 100%  |  etfruit: 55%  |  eatveg: 52%  |  slprl: 45%,gen_1_experiments/genetic_exp/RF_highthres_2026-04-21
RF_lowthres_2026-04-21,genetic,RandomForest,False,10,1000,0.10,9,61,38,62.3%,100.0%,47.5%,3.79,3.44,0.32,11.0,1.8,0.0,80.0,18.45,2.05,bmi: 100%  |  etfruit: 61%  |  cgtsmok: 50%  |  slprl: 50%,gen_1_experiments/genetic_exp/RF_lowthres_2026-04-21
RF_prange_highthres_2026-04-29,genetic,RandomForest,True,10,1000,0.90,9,83,38,45.8%,100.0%,100.0%,2.50,2.29,0.21,11.0,3.0,0.0,78.7,18.83,2.09,bmi: 100%  |  slprl: 39%  |  alcfreq: 32%  |  etfruit: 24%,gen_1_experiments/genetic_exp/RF_prange_highthres_2026-04-29
RF_prange_lowthres_2026-04-21,genetic,RandomForest,True,20,1000,0.10,9,129,77,59.7%,100.0%,100.0%,2.58,2.41,0.18,11.0,3.0,0.0,76.2,23.91,2.66,bmi: 100%  |  slprl: 36%  |  alcfreq: 34%  |  dosprt: 29%,gen_1_experiments/genetic_exp/RF_prange_lowthres_2026-04-21
XGB_highthres_2026-04-17,genetic,XGBoost,False,10,500,0.90,9,86,38,44.2%,77.8%,54.7%,3.74,3.52,0.28,10.2,2.6,0.2,77.9,10.59,1.18,bmi: 100%  |  etfruit: 63%  |  cgtsmok: 47%  |  alcfreq: 47%,gen_1_experiments/genetic_exp/XGB_highthres_2026-04-17
XGB_prange_highthres_2026-04-17,genetic,XGBoost,True,10,500,0.90,9,84,43,51.2%,88.9%,100.0%,2.49,2.23,0.22,10.2,3.0,0.0,76.7,8.87,0.99,bmi: 100%  |  alcfreq: 33%  |  etfruit: 28%  |  slprl: 26%,gen_1_experiments/genetic_exp/XGB_prange_highthres_2026-04-17
XGB_prange_lowthres_2026-04-17,genetic,XGBoost,True,20,1000,0.10,9,133,73,54.9%,100.0%,100.0%,2.49,2.25,0.18,10.2,2.2,0.0,79.5,16.45,1.83,bmi: 100%  |  etfruit: 37%  |  alcfreq: 29%  |  dosprt: 26%,gen_1_experiments/genetic_exp/XGB_prange_lowthres_2026-04-17
RF_highthres_2026-04-21,random,RandomForest,False,10,1000,0.90,9,90,22,24.4%,88.9%,25.6%,1.82,1.76,0.14,11.0,4.8,0.0,70.6,301.11,33.46,alcfreq: 41%  |  bmi: 32%  |  dosprt: 27%  |  cgtsmok: 23%,gen_1_experiments/random_search_exp/RF_highthres_2026-04-21
RF_lowthres_2026-04-21,random,RandomForest,False,10,1000,0.10,9,90,40,44.4%,100.0%,36.7%,1.82,1.71,0.15,11.0,3.8,0.0,74.3,299.61,33.29,bmi: 38%  |  dosprt: 38%  |  eatveg: 28%  |  etfruit: 25%,gen_1_experiments/random_search_exp/RF_lowthres_2026-04-21
RF_prange_highthres_2026-04-29,random,RandomForest,True,10,1000,0.90,9,90,22,24.4%,66.7%,100.0%,1.45,1.48,0.13,11.0,3.2,0.0,76.5,1028.51,114.28,bmi: 64%  |  dosprt: 27%  |  alcfreq: 18%  |  cgtsmok: 14%,gen_1_experiments/random_search_exp/RF_prange_highthres_2026-04-29
XGB_highthres_2026-04-17,random,XGBoost,False,10,1000,0.90,9,90,48,53.3%,100.0%,25.6%,1.69,1.69,0.13,10.2,2.2,0.0,80.8,133.85,14.87,bmi: 56%  |  etfruit: 27%  |  eatveg: 21%  |  dosprt: 19%,gen_1_experiments/random_search_exp/XGB_highthres_2026-04-17
XGB_prange_highthres_2026-04-17,random,XGBoost,True,10,1000,0.90,9,90,58,64.4%,100.0%,100.0%,1.47,1.47,0.13,10.2,2.0,0.0,82.1,435.36,48.37,bmi: 88%  |  dosprt: 16%  |  alcfreq: 14%  |  cgtsmok: 12%,gen_1_experiments/random_search_exp/XGB_prange_highthres_2026-04-17
