experiment,explainer_type,ml_model_type,use_permitted_range,total_cfs_requested,maxiterations,stopping_threshold,n_patients,total_cfs,valid_cfs,validity_%,solved_%,actionable_%,avg_nchanged_valid,avg_nchanged_all,avg_gower_all,min_gower_all,max_gower_all,low_gower_count_all,low_gower_<0.02_%_all,high_gower_count_all,high_gower_>0.35_%_all,gower_q25_all,gower_median_all,gower_q75_all,avg_gower_valid,min_gower_valid,max_gower_valid,low_gower_count_valid,low_gower_<0.02_%_valid,high_gower_count_valid,high_gower_>0.35_%_valid,avg_risk_before,avg_risk_after,min_risk_after,risk_reduction_%,total_gen_time_sec,avg_gen_time_sec,top_features,csv_path
RandomForest_thres0.5_2026-05-11,genetic,RandomForest,True,10,1000,0.50,9,89,28,31.5%,100.0%,89.9%,2.50,2.35,0.19,0.0002,0.4607,4,4.5%,11,12.4%,0.1183,0.1653,0.2505,0.19,0.0569,0.4607,0,0.0%,2,7.1%,0.2571,0.1194,0.0000,70.1,86.48,9.61,bmi: 100%  |  alcfreq: 36%  |  slprl: 29%  |  dosprt: 29%,predictors_vs_threshold/SMOTE/base_predictors/RandomForest_thres0.5_2026-05-11
RandomForest_thres0.9_2026-05-11,genetic,RandomForest,True,10,1000,0.90,9,56,23,41.1%,88.9%,89.3%,2.57,2.25,0.18,0.0001,0.4607,2,3.6%,3,5.4%,0.1217,0.1741,0.2503,0.21,0.0597,0.4607,0,0.0%,2,8.7%,0.2042,0.1016,0.0000,71.9,144.35,16.04,bmi: 100%  |  alcfreq: 39%  |  dosprt: 39%  |  etfruit: 30%,predictors_vs_threshold/SMOTE/base_predictors/RandomForest_thres0.9_2026-05-11
XGBoost_thres0.5_2026-05-11,genetic,XGBoost,True,10,1000,0.50,9,90,30,33.3%,55.6%,88.9%,2.83,2.41,0.20,0.0003,0.5678,5,5.6%,12,13.3%,0.1251,0.1728,0.2528,0.25,0.0177,0.5321,1,3.3%,7,23.3%,0.3452,0.1490,0.0010,74.5,9.40,1.04,bmi: 100%  |  dosprt: 43%  |  alcfreq: 40%  |  etfruit: 37%,predictors_vs_threshold/SMOTE/base_predictors/XGBoost_thres0.5_2026-05-11
XGBoost_thres0.9_2026-05-11,genetic,XGBoost,True,10,1000,0.90,9,50,21,42.0%,66.7%,94.0%,2.86,2.42,0.19,0.0497,0.3796,0,0.0%,5,10.0%,0.1250,0.1581,0.2503,0.21,0.1000,0.3796,0,0.0%,2,9.5%,0.2807,0.1044,0.0021,77.9,9.55,1.06,bmi: 100%  |  alcfreq: 52%  |  dosprt: 48%  |  eatveg: 29%,predictors_vs_threshold/SMOTE/base_predictors/XGBoost_thres0.9_2026-05-11
RandomForest_thres0.5_2026-05-11,genetic,RandomForest,True,10,1000,0.50,9,89,8,9.0%,33.3%,88.8%,3.38,2.39,0.18,0.0002,0.4607,5,5.6%,9,10.1%,0.1122,0.1584,0.2507,0.21,0.1201,0.3147,0,0.0%,0,0.0%,0.3461,0.1402,0.0826,65.7,140.61,15.62,bmi: 100%  |  alcfreq: 50%  |  slprl: 50%  |  dosprt: 50%,predictors_vs_threshold/SMOTE/gridsearched_predictors/RandomForest_thres0.5_2026-05-11
XGBoost_thres0.5_2026-05-11,genetic,XGBoost,True,10,1000,0.50,9,87,17,19.5%,55.6%,88.5%,3.24,2.37,0.17,0.0001,0.4607,4,4.6%,9,10.3%,0.1103,0.1475,0.2374,0.21,0.0492,0.3892,0,0.0%,2,11.8%,0.3933,0.1828,0.0933,63.3,100.08,11.12,bmi: 100%  |  alcfreq: 59%  |  dosprt: 53%  |  etfruit: 35%,predictors_vs_threshold/SMOTE/gridsearched_predictors/XGBoost_thres0.5_2026-05-11
RandomForest_thres0.1_2026-05-11,genetic,RandomForest,True,10,1000,0.10,9,63,41,65.1%,100.0%,88.9%,2.37,2.25,0.17,0.0000,0.4712,4,6.3%,4,6.3%,0.0876,0.1259,0.2504,0.18,0.0005,0.4712,1,2.4%,4,9.8%,0.0941,0.0264,0.0000,74.8,24.31,2.70,bmi: 100%  |  alcfreq: 32%  |  slprl: 27%  |  dosprt: 27%,predictors_vs_threshold/baseline/RandomForest_thres0.1_2026-05-11
RandomForest_thres0.5_2026-05-11,genetic,RandomForest,True,10,1000,0.50,9,90,38,42.2%,100.0%,88.9%,2.32,2.20,0.18,0.0004,0.4607,7,7.8%,10,11.1%,0.1135,0.1534,0.2504,0.21,0.0013,0.4607,1,2.6%,7,18.4%,0.1100,0.0333,0.0000,74.1,23.60,2.62,bmi: 100%  |  slprl: 39%  |  alcfreq: 32%  |  etfruit: 18%,predictors_vs_threshold/baseline/RandomForest_thres0.5_2026-05-11
RandomForest_thres0.9_2026-05-11,genetic,RandomForest,True,10,1000,0.90,9,83,39,47.0%,100.0%,88.0%,2.38,2.31,0.18,0.0006,0.4607,4,4.8%,5,6.0%,0.1250,0.1546,0.2414,0.19,0.0008,0.4607,1,2.6%,3,7.7%,0.1012,0.0280,0.0000,76.9,23.38,2.60,bmi: 100%  |  slprl: 36%  |  alcfreq: 33%  |  dosprt: 31%,predictors_vs_threshold/baseline/RandomForest_thres0.9_2026-05-11
XGBoost_thres0.1_2026-05-11,genetic,XGBoost,True,10,1000,0.10,9,70,39,55.7%,77.8%,92.9%,2.15,2.06,0.17,0.0004,0.4607,5,7.1%,2,2.9%,0.1134,0.1473,0.2329,0.17,0.0148,0.3202,2,5.1%,0,0.0%,0.0881,0.0225,0.0003,79.1,10.56,1.17,bmi: 100%  |  etfruit: 33%  |  slprl: 21%  |  cgtsmok: 18%,predictors_vs_threshold/baseline/XGBoost_thres0.1_2026-05-11
