query_index,cf_id,etfruit,eatveg,cgtsmok,alcfreq,slprl,paccnois,bmi,gndr,health,dosprt,hltprhb
4,original,3.0,3.0,5.0,6.0,2.0,0,28.344671201814062,1,3.0,0.0,1
4,cf_1,3.0,3.0,5.0,6.0,2.0,0,17.369605,1,3.0,0.0,0
4,cf_2,3.0,3.0,5.0,6.0,2.0,0,22.36902,1,3.0,4.0,0
4,cf_3,3.0,3.0,5.0,6.0,4.0,0,16.495478,1,3.0,0.0,0
24,original,2.0,3.0,5.0,7.0,3.0,0,39.25652940233936,2,4.0,7.0,1
24,cf_1,2.0,3.0,5.0,7.0,3.0,0,17.186056,2,4.0,7.0,0
24,cf_2,2.0,3.0,5.0,7.0,3.0,1,39.25652940233936,2,1.0,7.0,0
24,cf_3,2.0,3.0,5.0,7.0,3.0,0,16.277372,2,4.0,7.0,0
32,original,3.0,5.0,6.0,2.0,4.0,0,31.55365914876833,1,2.0,5.0,1
32,cf_1,5.0,5.0,6.0,7.0,4.0,0,31.55365914876833,1,2.0,5.0,0
32,cf_2,7.0,5.0,6.0,6.0,4.0,0,31.55365914876833,1,2.0,5.0,0
32,cf_3,7.0,5.0,6.0,4.0,4.0,0,31.55365914876833,1,2.0,5.0,0
45,original,4.0,4.0,1.0,6.0,1.0,0,26.83864765261977,1,3.0,0.0,1
45,cf_1,4.0,4.0,1.0,6.0,1.0,0,18.274051,1,3.0,0.0,0
45,cf_2,1.0,4.0,1.0,6.0,1.0,0,26.83864765261977,1,2.0,0.0,0
45,cf_3,4.0,4.0,1.0,6.0,1.0,0,26.83864765261977,1,2.0,0.0,0
86,original,2.0,3.0,6.0,4.0,4.0,0,37.87400580734756,2,3.0,0.0,1
86,cf_1,2.0,3.0,6.0,4.0,4.0,0,18.499085,2,2.0,0.0,0
86,cf_2,2.0,3.0,6.0,4.0,4.0,0,18.558883,2,3.0,0.0,0
86,cf_3,2.0,3.0,6.0,5.0,4.0,0,20.310783,2,3.0,0.0,0
