query_index,cf_id,etfruit,eatveg,cgtsmok,alcfreq,slprl,paccnois,bmi,dosprt
26993,cf_1,2.0,3.0,6.0,3.0,1.0,0.0,21.66416,2.0
26993,cf_2,2.0,4.0,6.0,3.0,4.0,0.0,20.4381655849977,2.0
26993,cf_3,2.0,3.0,6.0,3.0,1.0,0.0,24.025888,0.0
5367,cf_1,3.0,4.0,1.0,2.0,3.0,0.0,21.66416,0.0
5367,cf_2,3.0,4.0,1.0,2.0,3.0,0.0,25.839514,0.0
5367,cf_3,3.0,4.0,1.0,2.0,1.0,0.0,22.3756799506192,0.0
8757,cf_1,5.0,3.0,1.0,1.0,4.0,0.0,21.515459,7.0
8757,cf_2,4.0,3.0,1.0,1.0,4.0,0.0,24.451119,7.0
8757,cf_3,5.0,3.0,1.0,1.0,4.0,0.0,22.924936,7.0
37216,cf_1,6.0,4.0,1.0,1.0,1.0,0.0,19.597643,0.0
37216,cf_2,2.0,4.0,1.0,3.0,1.0,0.0,26.0145681581686,0.0
37216,cf_3,3.0,4.0,1.0,1.0,1.0,0.0,26.0145681581686,0.0
26527,cf_1,2.0,3.0,5.0,4.0,4.0,0.0,21.515459,4.0
26527,cf_2,4.0,3.0,5.0,4.0,1.0,0.0,24.451119,4.0
26527,cf_3,2.0,3.0,5.0,4.0,1.0,0.0,22.924936,4.0
15210,cf_1,3.0,3.0,6.0,6.0,2.0,0.0,23.687212,1.0
15210,cf_2,3.0,2.0,6.0,7.0,2.0,0.0,24.3417582863402,1.0
15210,cf_3,3.0,3.0,6.0,6.0,2.0,0.0,25.483208,1.0
18517,cf_1,5.0,4.0,2.0,7.0,4.0,0.0,21.515459,3.0
18517,cf_2,4.0,4.0,2.0,7.0,1.0,0.0,24.451119,3.0
18517,cf_3,5.0,4.0,2.0,7.0,1.0,0.0,22.924936,3.0
3852,cf_1,4.0,3.0,3.0,4.0,4.0,0.0,21.515459,0.0
3852,cf_2,4.0,3.0,3.0,4.0,2.0,0.0,24.451119,0.0
3852,cf_3,4.0,3.0,3.0,4.0,2.0,0.0,22.924936,0.0
22995,cf_1,2.0,2.0,1.0,2.0,4.0,0.0,23.687212,0.0
22995,cf_2,2.0,4.0,1.0,2.0,4.0,0.0,25.839514,0.0
22995,cf_3,3.0,2.0,1.0,2.0,4.0,0.0,25.483208,0.0
