config,experiment,validity_rate,success_rate,valid_cfs,gower,changes,time
Base RF - highthres,Baseline,0.4166666666666667,1.0,35,0.9460542857142856,2.4285714285714284,2.645555555555556
Base RF - lowthres,Baseline,0.5081967213114754,1.0,31,0.9494903225806453,2.2580645161290325,2.655555555555556
Base RF - midthres,Baseline,0.3777777777777777,0.8888888888888888,34,0.94025,2.264705882352941,2.604444444444445
Base XGB - highthres,Baseline,0.573170731707317,0.7777777777777778,47,0.9272936170212768,2.3191489361702127,1.0444444444444445
Base XGB - lowthres,Baseline,0.5652173913043478,0.7777777777777778,39,0.9401128205128204,2.358974358974359,1.098888888888889
Base XGB - midthres,Baseline,0.4666666666666667,0.8888888888888888,42,0.9227880952380952,2.357142857142857,1.0455555555555551
SMOTE-base RandomForest - thres0.5,SMOTE-base,0.247191011235955,0.8888888888888888,22,0.9276409090909092,2.636363636363636,9.705555555555556
SMOTE-base RandomForest - thres0.9,SMOTE-base,0.4482758620689655,0.8888888888888888,26,0.9392538461538462,2.8461538461538463,9.827777777777778
SMOTE-base XGBoost - thres0.5,SMOTE-base,0.3111111111111111,0.7777777777777778,28,0.9421357142857144,2.821428571428572,1.0766666666666669
SMOTE-base XGBoost - thres0.9,SMOTE-base,0.4230769230769231,0.7777777777777778,22,0.9577863636363636,2.4545454545454546,1.0577777777777777
SMOTE-grid RandomForest - thres0.5,SMOTE-grid,0.0666666666666666,0.2222222222222222,6,0.8877,3.1666666666666665,3.901111111111111
SMOTE-grid RandomForest - thres0.9,SMOTE-grid,0.2352941176470588,0.4444444444444444,8,0.9044625,3.25,3.846666666666666
SMOTE-grid XGBoost - thres0.5,SMOTE-grid,0.2068965517241379,0.6666666666666666,18,0.910272222222222,3.1666666666666665,11.118888888888888
XGB-optimized XGBoost - thres0.1,XGB-optimized,0.4782608695652174,0.8888888888888888,33,0.930918181818182,2.727272727272727,1.2022222222222223
XGB-optimized XGBoost - thres0.5,XGB-optimized,0.3222222222222222,0.8888888888888888,29,0.9217241379310342,2.793103448275862,1.2333333333333334
XGB-optimized XGBoost - thres0.9,XGB-optimized,0.4117647058823529,1.0,35,0.9380314285714284,2.4857142857142858,1.1855555555555557
