experiment,model,threshold,stopping_threshold,n_queries,total_cfs_generated,valid_cfs,validity_rate,query_success_rate,avg_gower_distance,avg_features_changed,avg_gen_time_sec
SMOTE-base,RandomForest,thres0.5,0.5,9,89,22,0.24719101123595505,0.8888888888888888,0.9276409090909091,2.6363636363636362,9.705555555555556
SMOTE-base,RandomForest,thres0.9,0.9,9,58,26,0.4482758620689655,0.8888888888888888,0.9392538461538462,2.8461538461538463,9.827777777777778
SMOTE-base,XGBoost,thres0.5,0.5,9,90,28,0.3111111111111111,0.7777777777777778,0.9421357142857144,2.8214285714285716,1.0766666666666669
SMOTE-base,XGBoost,thres0.9,0.9,9,52,22,0.4230769230769231,0.7777777777777778,0.9577863636363635,2.4545454545454546,1.0577777777777777
SMOTE-grid,RandomForest,thres0.5,0.5,9,90,6,0.06666666666666667,0.2222222222222222,0.8877,3.1666666666666665,3.901111111111111
SMOTE-grid,RandomForest,thres0.9,0.9,9,34,8,0.23529411764705882,0.4444444444444444,0.9044625000000001,3.25,3.8466666666666662
SMOTE-grid,XGBoost,thres0.5,0.5,9,87,18,0.20689655172413793,0.6666666666666666,0.9102722222222221,3.1666666666666665,11.118888888888888
XGB-optimized,XGBoost,thres0.1,0.1,9,69,33,0.4782608695652174,0.8888888888888888,0.9309181818181819,2.727272727272727,1.2022222222222223
XGB-optimized,XGBoost,thres0.5,0.5,9,90,29,0.32222222222222224,0.8888888888888888,0.9217241379310342,2.793103448275862,1.2333333333333334
XGB-optimized,XGBoost,thres0.9,0.9,9,85,35,0.4117647058823529,1.0,0.9380314285714285,2.4857142857142858,1.1855555555555557
