run_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,rf__bootstrap,rf__class_weight,rf__max_features,rf__criterion,rf__n_estimators,rf__min_samples_split,rf__min_samples_leaf,rf__max_depth
001,5.805,0.272,0.15,0.008,0.544,0.55,0.56,0.548,0.008,1,True,,sqrt,gini,164,6,1,14
001,8.888,0.447,0.214,0.007,0.546,0.548,0.559,0.547,0.008,2,True,,sqrt,entropy,208,4,1,15
001,16.182,0.864,0.35,0.011,0.544,0.546,0.558,0.547,0.008,3,True,,sqrt,entropy,438,8,5,13
001,13.985,0.153,0.327,0.025,0.542,0.545,0.561,0.547,0.009,4,True,,sqrt,gini,404,9,1,13
001,19.348,0.344,0.511,0.021,0.544,0.544,0.56,0.546,0.008,5,True,,sqrt,gini,523,9,5,15
001,8.539,0.057,0.196,0.01,0.544,0.547,0.556,0.546,0.007,6,True,,sqrt,log_loss,217,2,4,15
001,9.408,0.342,0.219,0.041,0.541,0.547,0.557,0.546,0.008,7,True,,sqrt,entropy,283,6,1,12
001,10.474,0.174,0.25,0.011,0.54,0.545,0.56,0.546,0.009,8,True,,sqrt,gini,296,4,4,13
001,29.537,0.991,0.627,0.129,0.546,0.546,0.558,0.546,0.009,9,True,,log2,log_loss,491,3,2,15
001,12.342,0.412,0.258,0.017,0.541,0.544,0.557,0.546,0.007,10,True,,sqrt,gini,388,7,1,12
001,25.769,0.888,0.59,0.021,0.541,0.546,0.557,0.546,0.008,11,True,,sqrt,log_loss,598,7,4,15
001,16.523,0.336,0.277,0.007,0.545,0.548,0.554,0.546,0.007,12,True,,log2,log_loss,305,9,4,14
001,6.793,0.13,0.147,0.015,0.544,0.545,0.558,0.546,0.009,13,True,,sqrt,entropy,158,9,5,14
001,4.875,0.04,0.106,0.007,0.542,0.547,0.556,0.545,0.006,14,True,,sqrt,entropy,150,8,1,12
001,14.916,0.288,0.24,0.016,0.546,0.545,0.556,0.545,0.008,15,True,,log2,entropy,269,2,3,14
001,24.372,0.72,0.453,0.028,0.542,0.547,0.557,0.545,0.008,16,True,,log2,entropy,426,4,3,15
001,27.394,0.592,0.503,0.022,0.544,0.547,0.555,0.545,0.007,17,True,,log2,log_loss,518,8,1,15
001,26.539,0.411,0.424,0.012,0.546,0.546,0.554,0.545,0.008,18,True,,log2,entropy,506,5,4,14
001,18.002,0.547,0.293,0.007,0.542,0.545,0.556,0.545,0.008,19,True,,log2,entropy,374,9,5,14
001,24.065,0.933,0.345,0.015,0.542,0.546,0.559,0.545,0.009,20,True,,log2,entropy,449,6,3,13
002,17.965,0.421,0.484,0.031,0.545,0.551,0.564,0.549,0.009,1,True,,sqrt,gini,470,6,1,15
002,23.8,0.851,0.689,0.026,0.547,0.55,0.56,0.549,0.008,2,True,,sqrt,gini,599,3,1,15
002,13.846,0.519,0.318,0.016,0.546,0.546,0.564,0.549,0.009,3,True,,sqrt,entropy,343,4,2,15
002,13.95,0.319,0.389,0.023,0.546,0.548,0.563,0.549,0.01,4,True,,sqrt,gini,369,6,1,15
002,7.872,0.171,0.221,0.008,0.545,0.551,0.564,0.549,0.009,5,True,,sqrt,gini,221,5,1,15
002,19.49,0.222,0.478,0.01,0.547,0.549,0.56,0.548,0.008,6,True,,sqrt,entropy,450,3,1,15
002,22.201,0.691,0.499,0.012,0.547,0.546,0.559,0.548,0.007,7,True,,sqrt,entropy,535,4,3,14
002,15.092,0.284,0.441,0.025,0.545,0.549,0.56,0.548,0.008,8,True,,sqrt,gini,429,7,1,15
002,15.748,0.388,0.393,0.016,0.543,0.548,0.563,0.548,0.01,9,True,,sqrt,gini,456,3,1,13
002,10.265,0.687,0.234,0.011,0.544,0.55,0.559,0.548,0.009,10,True,,sqrt,entropy,247,6,1,15
002,10.321,0.306,0.246,0.016,0.544,0.55,0.559,0.548,0.008,11,True,,sqrt,entropy,261,5,2,15
002,22.144,1.119,0.49,0.022,0.545,0.547,0.562,0.548,0.008,12,True,,sqrt,entropy,571,6,1,14
002,11.798,0.915,0.234,0.021,0.547,0.547,0.56,0.548,0.008,13,True,,sqrt,entropy,311,4,2,14
002,15.205,0.524,0.389,0.012,0.545,0.549,0.562,0.548,0.01,14,True,,sqrt,gini,427,7,1,15
002,24.132,0.553,0.527,0.01,0.545,0.55,0.557,0.548,0.006,15,True,,sqrt,entropy,588,6,2,15
002,12.385,0.239,0.348,0.016,0.545,0.547,0.56,0.548,0.008,16,True,,sqrt,gini,340,6,1,15
002,18.162,0.293,0.436,0.014,0.544,0.552,0.56,0.548,0.009,17,True,,sqrt,entropy,411,6,1,15
002,12.398,0.534,0.372,0.026,0.545,0.548,0.562,0.548,0.009,18,True,,sqrt,gini,330,7,1,15
002,17.625,0.929,0.425,0.028,0.547,0.545,0.561,0.548,0.008,19,True,,sqrt,gini,472,6,1,14
002,19.774,0.484,0.439,0.023,0.547,0.546,0.559,0.548,0.007,20,True,,sqrt,entropy,528,3,3,14
