run_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,xgb__scale_pos_weight,xgb__colsample_bytree,xgb__gamma,xgb__learning_rate,xgb__max_depth,xgb__min_child_weight,xgb__n_estimators,xgb__reg_alpha,xgb__reg_lambda,xgb__subsample
001,4.292,0.075,0.435,0.013,0.536,0.547,0.546,0.542,0.529,0.54,0.007,1,,0.731,1.165,0.012,12.0,2.0,613.0,0.002,1.855,0.569
001,2.989,0.092,0.246,0.009,0.536,0.545,0.548,0.544,0.524,0.539,0.009,2,,0.966,1.486,0.033,14.0,3.0,795.0,0.921,5.534,0.749
001,4.347,0.194,0.319,0.008,0.531,0.546,0.54,0.538,0.526,0.536,0.007,3,,0.645,0.416,0.033,14.0,9.0,1147.0,6.725,7.524,0.854
001,1.299,0.073,0.089,0.018,0.53,0.549,0.537,0.536,0.529,0.536,0.007,4,,0.529,0.744,0.097,10.0,3.0,300.0,1.247,3.854,0.75
001,1.248,0.06,0.081,0.009,0.528,0.537,0.544,0.541,0.528,0.536,0.007,5,,0.398,2.428,0.013,13.0,3.0,274.0,1.358,0.993,0.446
001,2.799,0.17,0.248,0.02,0.532,0.535,0.549,0.54,0.522,0.535,0.009,6,,0.929,3.032,0.008,11.0,3.0,352.0,0.051,1.608,0.684
001,1.471,0.057,0.078,0.011,0.532,0.537,0.545,0.541,0.522,0.535,0.008,7,,0.871,4.84,0.032,13.0,9.0,600.0,1.34,0.288,0.829
001,1.441,0.068,0.1,0.014,0.533,0.542,0.539,0.538,0.524,0.535,0.006,8,,0.812,0.638,0.08,10.0,7.0,389.0,5.619,2.386,0.776
001,2.357,0.125,0.1,0.005,0.533,0.544,0.536,0.542,0.521,0.535,0.008,9,,0.895,1.06,0.202,13.0,6.0,1151.0,6.477,7.962,0.828
001,0.953,0.022,0.048,0.008,0.525,0.544,0.541,0.538,0.527,0.535,0.008,10,,0.701,0.643,0.248,13.0,5.0,467.0,3.861,9.612,0.934
001,1.352,0.052,0.094,0.011,0.531,0.54,0.544,0.54,0.52,0.535,0.009,11,,0.83,1.293,0.063,13.0,1.0,432.0,6.318,2.598,0.744
001,0.949,0.049,0.053,0.007,0.531,0.544,0.537,0.536,0.523,0.534,0.007,12,,0.518,1.137,0.187,11.0,5.0,336.0,2.056,7.878,0.723
001,1.415,0.042,0.07,0.006,0.53,0.536,0.545,0.54,0.52,0.534,0.009,13,,0.872,3.992,0.05,13.0,6.0,663.0,0.408,5.909,0.774
001,1.608,0.068,0.065,0.003,0.525,0.54,0.542,0.537,0.526,0.534,0.007,14,,0.588,1.744,0.284,14.0,12.0,1145.0,1.243,7.309,0.957
001,2.848,0.208,0.16,0.019,0.529,0.542,0.536,0.538,0.524,0.534,0.006,15,,0.582,1.476,0.075,9.0,3.0,1103.0,2.925,1.523,0.486
001,1.393,0.098,0.09,0.005,0.534,0.54,0.535,0.541,0.519,0.534,0.008,16,,0.926,0.959,0.102,13.0,6.0,624.0,6.172,4.424,0.882
001,1.186,0.052,0.074,0.008,0.53,0.541,0.538,0.535,0.525,0.534,0.006,17,,0.608,0.737,0.103,9.0,1.0,345.0,3.714,0.625,0.861
001,1.447,0.082,0.16,0.033,0.532,0.539,0.54,0.539,0.518,0.534,0.008,18,,0.988,0.56,0.124,14.0,11.0,203.0,0.053,9.751,0.644
001,1.218,0.059,0.073,0.018,0.53,0.532,0.545,0.541,0.52,0.534,0.009,19,,0.779,2.201,0.042,10.0,3.0,405.0,3.911,1.822,0.829
001,1.714,0.088,0.061,0.002,0.53,0.541,0.535,0.538,0.524,0.534,0.006,20,,0.673,0.79,0.214,14.0,2.0,974.0,6.135,3.631,0.928
002,1.777,0.099,0.195,0.021,0.536,0.543,0.549,0.546,0.52,0.539,0.011,1,,0.847,1.416,0.032,14.0,4.0,421.0,0.919,8.72,0.978
002,2.648,0.111,0.238,0.022,0.535,0.539,0.55,0.542,0.526,0.538,0.008,2,,0.895,1.802,0.032,13.0,3.0,977.0,1.077,2.469,0.974
002,3.912,0.213,0.355,0.039,0.533,0.546,0.545,0.54,0.524,0.538,0.008,3,,0.813,1.004,0.019,12.0,10.0,957.0,3.235,0.312,0.759
002,2.835,0.096,0.214,0.016,0.534,0.545,0.543,0.544,0.523,0.538,0.008,4,,0.931,1.397,0.036,13.0,3.0,854.0,3.827,2.55,0.635
