run_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,rf__bootstrap,rf__class_weight,rf__max_features,rf__criterion,rf__n_estimators,rf__min_samples_split,rf__min_samples_leaf,rf__max_depth
001,24.398,0.306,0.583,0.034,0.498,0.489,0.491,0.493,0.004,1,True,,,log_loss,510,4,1,15
001,16.89,0.083,0.457,0.001,0.495,0.491,0.491,0.492,0.002,2,True,,,gini,391,6,2,15
001,17.481,0.082,0.47,0.018,0.494,0.488,0.492,0.491,0.003,3,True,,,gini,417,6,3,15
001,11.563,0.067,0.291,0.008,0.492,0.487,0.491,0.49,0.002,4,True,,,entropy,249,2,3,15
001,17.897,0.572,0.378,0.006,0.492,0.488,0.49,0.49,0.001,5,True,,,log_loss,388,3,3,15
001,8.079,0.089,0.196,0.007,0.491,0.487,0.491,0.49,0.002,6,True,,,log_loss,185,6,3,15
001,20.321,0.57,0.505,0.009,0.492,0.488,0.489,0.489,0.002,7,True,,,gini,524,7,3,14
001,20.803,0.225,0.488,0.008,0.489,0.486,0.487,0.487,0.001,8,True,,,entropy,513,6,3,14
001,9.921,0.164,0.229,0.004,0.491,0.484,0.485,0.487,0.003,9,True,,,entropy,250,4,1,13
001,17.891,0.501,0.447,0.018,0.489,0.486,0.486,0.487,0.001,10,True,,,gini,509,4,2,12
001,17.062,0.066,0.315,0.007,0.488,0.485,0.485,0.486,0.001,11,True,,,entropy,443,3,4,13
001,12.477,0.171,0.294,0.013,0.484,0.484,0.483,0.483,0.001,12,True,,,log_loss,312,9,1,13
001,15.408,0.035,0.392,0.018,0.486,0.483,0.481,0.483,0.002,13,True,,,gini,433,2,4,11
001,8.747,0.177,0.527,0.046,0.485,0.484,0.481,0.483,0.002,14,True,,log2,gini,459,3,2,15
001,7.496,0.143,0.17,0.006,0.487,0.482,0.48,0.483,0.003,15,True,,,log_loss,204,5,3,12
001,9.999,0.138,0.54,0.009,0.483,0.483,0.48,0.482,0.001,16,True,,log2,log_loss,491,3,2,15
001,10.565,0.176,0.569,0.006,0.482,0.479,0.48,0.481,0.001,17,True,,log2,log_loss,518,8,1,15
001,3.796,0.139,0.236,0.021,0.482,0.479,0.48,0.48,0.002,18,True,,sqrt,entropy,208,4,1,15
001,5.183,0.105,0.264,0.002,0.481,0.481,0.479,0.48,0.001,19,True,,log2,entropy,269,2,3,14
001,7.04,0.184,0.169,0.003,0.482,0.48,0.478,0.48,0.002,20,True,,,gini,230,7,3,10
