run_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,rf__bootstrap,rf__class_weight,rf__max_features,rf__criterion,rf__n_estimators,rf__min_samples_split,rf__min_samples_leaf,rf__max_depth
001,13.25,0.349,0.226,0.031,0.497,0.491,0.496,0.494,0.006,1,True,,,gini,286,3,2,15
001,20.447,0.455,0.324,0.014,0.498,0.489,0.49,0.493,0.005,2,True,,,gini,392,4,2,15
001,23.666,0.628,0.335,0.014,0.495,0.49,0.489,0.493,0.005,3,True,,,gini,473,4,1,15
001,22.203,0.554,0.347,0.022,0.496,0.491,0.489,0.493,0.004,4,True,,,gini,422,5,1,15
001,16.693,0.168,0.259,0.015,0.498,0.489,0.492,0.493,0.005,5,True,,,gini,361,5,2,15
001,13.812,0.25,0.192,0.009,0.497,0.49,0.49,0.493,0.005,6,True,,,gini,272,3,2,15
001,23.121,0.759,0.381,0.035,0.492,0.491,0.491,0.492,0.004,7,True,,,gini,451,3,1,14
001,13.312,0.544,0.208,0.01,0.493,0.489,0.491,0.492,0.005,8,True,,,gini,258,3,1,14
001,18.269,0.152,0.271,0.012,0.499,0.489,0.491,0.492,0.007,9,True,,,gini,393,5,2,15
001,20.682,0.327,0.329,0.02,0.499,0.488,0.489,0.492,0.007,10,True,,,gini,410,5,2,14
001,20.87,0.561,0.321,0.017,0.495,0.489,0.49,0.492,0.004,11,True,,,gini,464,4,1,14
001,22.417,0.553,0.334,0.011,0.499,0.49,0.489,0.491,0.005,12,True,,,gini,443,6,2,14
001,16.331,0.545,0.247,0.016,0.492,0.488,0.49,0.491,0.005,13,True,,,gini,354,4,1,14
001,15.884,0.37,0.241,0.011,0.495,0.49,0.488,0.491,0.005,14,True,,,gini,318,6,2,14
001,16.66,0.235,0.251,0.008,0.496,0.49,0.485,0.491,0.006,15,True,,,gini,329,3,1,14
001,15.309,0.357,0.233,0.014,0.499,0.488,0.488,0.491,0.007,16,True,,,gini,302,5,2,14
001,27.826,0.371,0.413,0.014,0.494,0.49,0.486,0.491,0.007,17,True,,,gini,535,3,1,14
001,28.689,0.599,0.402,0.015,0.498,0.487,0.487,0.491,0.005,18,True,,,log_loss,517,3,2,15
001,16.576,0.142,0.217,0.009,0.496,0.488,0.489,0.491,0.004,19,True,,,entropy,300,4,2,15
001,19.595,0.412,0.3,0.016,0.491,0.491,0.49,0.49,0.006,20,True,,,gini,385,4,1,14
