run_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,xgb__n_estimators,xgb__max_depth,xgb__learning_rate,xgb__subsample,xgb__colsample_bytree,xgb__min_child_weight,xgb__gamma,xgb__scale_pos_weight,xgb__reg_lambda,xgb__reg_alpha
001,1.861,0.059,0.195,0.012,0.505,0.516,0.516,0.517,0.513,0.513,0.004,1,747.0,10.0,0.23,0.331,0.727,9.0,0.677,,2.827,0.134
001,1.11,0.016,0.096,0.01,0.504,0.505,0.503,0.503,0.489,0.501,0.006,2,523.0,6.0,0.286,0.347,0.952,2.0,0.513,,7.082,3.01
001,2.896,0.07,0.283,0.007,0.494,0.493,0.506,0.505,0.5,0.5,0.005,3,1161.0,8.0,0.068,0.526,0.951,7.0,0.352,,2.953,2.542
001,1.522,0.064,0.124,0.003,0.494,0.503,0.5,0.503,0.496,0.5,0.004,4,1129.0,10.0,0.264,0.768,0.551,12.0,0.579,,3.708,0.954
001,1.139,0.075,0.075,0.004,0.494,0.492,0.501,0.5,0.493,0.496,0.004,5,760.0,4.0,0.298,0.348,0.848,3.0,1.139,,2.607,2.554
001,1.062,0.064,0.111,0.013,0.491,0.496,0.502,0.5,0.49,0.496,0.005,6,422.0,9.0,0.153,0.682,0.853,14.0,0.456,,7.37,0.559
001,1.443,0.05,0.135,0.05,0.496,0.496,0.497,0.488,0.49,0.493,0.004,7,906.0,13.0,0.296,0.614,0.841,10.0,0.654,,3.309,4.42
001,0.615,0.029,0.068,0.005,0.492,0.492,0.494,0.488,0.484,0.49,0.004,8,203.0,14.0,0.124,0.644,0.988,11.0,0.56,,9.751,0.053
001,1.329,0.117,0.082,0.003,0.483,0.49,0.494,0.493,0.487,0.49,0.004,9,881.0,4.0,0.252,0.384,0.721,12.0,1.119,,0.887,1.77
001,1.46,0.088,0.109,0.003,0.489,0.486,0.495,0.492,0.486,0.489,0.004,10,895.0,10.0,0.259,0.64,0.875,4.0,0.553,,5.399,5.023
001,1.752,0.071,0.15,0.013,0.487,0.481,0.495,0.487,0.487,0.487,0.004,11,911.0,10.0,0.197,0.527,0.769,6.0,0.35,,5.33,6.509
001,1.225,0.055,0.08,0.004,0.483,0.479,0.494,0.489,0.488,0.487,0.005,12,788.0,4.0,0.22,0.427,0.707,1.0,0.448,,1.219,4.135
001,1.162,0.082,0.073,0.007,0.483,0.489,0.493,0.485,0.479,0.486,0.005,13,894.0,9.0,0.228,0.315,0.53,5.0,2.351,,1.617,0.437
001,1.997,0.136,0.12,0.005,0.483,0.483,0.487,0.483,0.489,0.485,0.002,14,991.0,5.0,0.276,0.411,0.742,1.0,0.249,,7.655,7.295
001,0.961,0.028,0.072,0.004,0.484,0.481,0.486,0.486,0.484,0.484,0.002,15,573.0,5.0,0.214,0.311,0.991,10.0,0.682,,7.245,4.458
001,1.735,0.049,0.128,0.006,0.483,0.486,0.488,0.481,0.481,0.484,0.003,16,1178.0,12.0,0.231,0.318,0.534,10.0,0.378,,4.087,6.44
001,0.981,0.064,0.08,0.013,0.484,0.483,0.486,0.481,0.484,0.484,0.002,17,576.0,8.0,0.154,0.407,0.725,5.0,1.222,,1.018,2.372
001,0.484,0.028,0.043,0.005,0.48,0.487,0.489,0.48,0.482,0.484,0.004,18,310.0,13.0,0.195,0.406,0.645,3.0,1.644,,1.28,1.289
001,1.239,0.023,0.075,0.005,0.486,0.479,0.49,0.479,0.482,0.483,0.004,19,1123.0,4.0,0.264,0.566,0.624,6.0,1.899,,3.412,0.256
001,1.637,0.106,0.141,0.016,0.479,0.483,0.483,0.485,0.483,0.483,0.002,20,909.0,5.0,0.111,0.455,0.753,7.0,0.003,,4.174,5.107
002,2.88,0.066,0.32,0.02,0.523,0.531,0.522,0.531,0.522,0.526,0.004,1,1092.0,11.0,0.259,0.371,0.968,9.0,1.042,,1.363,0.216
002,2.76,0.077,0.316,0.043,0.517,0.525,0.533,0.52,0.523,0.524,0.005,2,904.0,13.0,0.212,0.391,0.837,7.0,0.587,,2.168,0.203
002,2.519,0.083,0.262,0.018,0.51,0.522,0.527,0.534,0.52,0.523,0.008,3,1088.0,6.0,0.23,0.366,0.976,1.0,0.109,,3.778,0.55
002,2.36,0.126,0.253,0.009,0.517,0.522,0.523,0.535,0.514,0.522,0.007,4,817.0,10.0,0.278,0.596,0.989,9.0,0.271,,3.835,0.682
