run_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,rf__n_estimators,rf__min_samples_split,rf__min_samples_leaf,rf__max_features,rf__max_depth,rf__class_weight,rf__bootstrap
001,7.483,0.335,0.141,0.002,0.627,0.638,0.644,0.637,0.625,0.634,0.007,1,500,10,2,sqrt,5,balanced_subsample,True
001,4.83,0.214,0.108,0.009,0.631,0.632,0.646,0.634,0.627,0.634,0.006,2,300,5,2,sqrt,5,balanced_subsample,True
001,2.867,0.12,0.093,0.002,0.631,0.634,0.64,0.635,0.626,0.633,0.005,3,300,10,1,sqrt,4,balanced,True
001,7.36,0.287,0.147,0.01,0.628,0.633,0.647,0.636,0.623,0.633,0.008,4,500,2,4,sqrt,5,balanced_subsample,True
001,7.403,0.328,0.258,0.024,0.631,0.633,0.642,0.636,0.624,0.633,0.006,5,800,10,1,sqrt,5,balanced,True
001,4.683,0.263,0.097,0.007,0.628,0.638,0.64,0.636,0.624,0.633,0.006,6,300,10,1,sqrt,4,balanced_subsample,True
001,7.744,0.251,0.161,0.014,0.627,0.636,0.644,0.632,0.625,0.633,0.007,7,500,2,1,sqrt,4,balanced_subsample,True
001,5.147,0.109,0.172,0.006,0.629,0.634,0.644,0.634,0.624,0.633,0.007,8,500,10,1,sqrt,5,balanced,True
001,13.031,0.21,0.271,0.009,0.631,0.63,0.643,0.637,0.623,0.633,0.007,9,800,2,4,sqrt,5,balanced_subsample,True
001,2.77,0.143,0.1,0.01,0.629,0.63,0.64,0.635,0.625,0.632,0.005,10,300,10,2,sqrt,4,balanced,True
001,15.839,0.291,0.29,0.024,0.628,0.635,0.645,0.634,0.618,0.632,0.009,11,800,10,2,log2,5,balanced_subsample,True
001,6.537,0.063,0.23,0.029,0.628,0.635,0.641,0.632,0.623,0.632,0.006,12,800,5,1,sqrt,4,balanced,True
