run_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,xgb__n_estimators,xgb__max_depth,xgb__learning_rate,xgb__subsample,xgb__colsample_bytree,xgb__min_child_weight,xgb__gamma,xgb__scale_pos_weight
001,0.397,0.031,0.027,0.001,0.629,0.635,0.65,0.639,0.619,0.634,0.01,1,211.0,3.0,0.054,0.588,0.74,1.0,1.238,10.0
001,0.522,0.049,0.032,0.001,0.632,0.635,0.65,0.638,0.615,0.634,0.011,2,579.0,4.0,0.178,0.959,0.71,3.0,4.701,10.0
001,0.736,0.04,0.055,0.006,0.63,0.636,0.648,0.642,0.613,0.634,0.012,3,412.0,7.0,0.018,0.787,0.309,6.0,4.849,10.0
001,0.823,0.054,0.076,0.005,0.628,0.639,0.651,0.629,0.62,0.633,0.011,4,242.0,11.0,0.018,0.308,0.659,7.0,3.401,10.0
001,0.523,0.125,0.037,0.006,0.633,0.632,0.642,0.639,0.615,0.632,0.009,5,422.0,6.0,0.128,0.906,0.356,8.0,2.623,10.0
001,1.273,0.129,0.214,0.035,0.624,0.633,0.648,0.637,0.616,0.631,0.011,6,328.0,11.0,0.01,0.439,0.507,8.0,0.826,10.0
001,1.004,0.018,0.065,0.001,0.63,0.635,0.64,0.64,0.611,0.631,0.011,7,872.0,6.0,0.082,0.717,0.328,14.0,4.358,10.0
001,0.6,0.033,0.039,0.001,0.622,0.636,0.646,0.636,0.615,0.631,0.011,8,535.0,3.0,0.187,0.967,0.636,14.0,1.569,10.0
001,0.465,0.017,0.038,0.002,0.631,0.632,0.641,0.638,0.607,0.63,0.012,9,308.0,4.0,0.148,0.716,0.594,4.0,3.902,10.0
001,1.976,0.251,0.252,0.017,0.631,0.631,0.631,0.634,0.619,0.629,0.005,10,723.0,11.0,0.014,0.978,0.461,8.0,1.066,10.0
001,0.743,0.043,0.058,0.008,0.633,0.629,0.632,0.632,0.618,0.629,0.006,11,620.0,12.0,0.114,0.885,0.323,3.0,3.18,10.0
001,0.872,0.015,0.055,0.003,0.622,0.638,0.637,0.629,0.607,0.627,0.011,12,728.0,3.0,0.131,0.692,0.443,14.0,2.539,10.0
001,1.017,0.052,0.085,0.012,0.626,0.626,0.648,0.628,0.602,0.626,0.014,13,855.0,12.0,0.053,0.994,0.745,10.0,3.806,10.0
001,0.708,0.033,0.049,0.004,0.626,0.636,0.635,0.635,0.596,0.626,0.015,14,432.0,3.0,0.148,0.55,0.934,1.0,1.607,10.0
001,1.023,0.13,0.081,0.02,0.624,0.631,0.628,0.635,0.602,0.624,0.011,15,963.0,5.0,0.214,0.867,0.406,4.0,2.541,10.0
001,1.106,0.185,0.077,0.005,0.626,0.623,0.631,0.629,0.607,0.623,0.009,16,684.0,6.0,0.099,0.442,0.322,14.0,3.182,10.0
001,0.839,0.081,0.054,0.009,0.62,0.633,0.623,0.628,0.608,0.623,0.008,17,619.0,3.0,0.26,0.561,0.583,8.0,4.439,10.0
001,1.067,0.065,0.086,0.013,0.621,0.617,0.629,0.637,0.608,0.622,0.01,18,979.0,8.0,0.153,0.914,0.387,1.0,2.068,10.0
001,0.688,0.076,0.051,0.014,0.621,0.63,0.637,0.627,0.595,0.622,0.014,19,406.0,3.0,0.243,0.449,0.978,7.0,0.442,10.0
001,0.774,0.073,0.074,0.025,0.616,0.627,0.635,0.626,0.603,0.621,0.011,20,613.0,8.0,0.189,0.921,0.602,4.0,2.197,10.0
002,0.726,0.039,0.045,0.004,0.628,0.639,0.65,0.638,0.615,0.634,0.012,1,479.0,3.0,0.04,0.758,0.69,3.0,1.039,10.0
002,1.333,0.076,0.11,0.017,0.633,0.64,0.642,0.638,0.614,0.633,0.01,2,722.0,4.0,0.022,0.742,0.781,9.0,1.57,10.0
002,1.592,0.083,0.149,0.004,0.63,0.641,0.65,0.634,0.612,0.633,0.013,3,771.0,5.0,0.008,0.914,0.674,4.0,2.7,10.0
002,1.494,0.061,0.127,0.024,0.628,0.639,0.653,0.628,0.615,0.633,0.013,4,624.0,5.0,0.007,0.513,0.943,1.0,0.783,10.0
002,0.542,0.016,0.041,0.004,0.63,0.638,0.635,0.641,0.613,0.632,0.01,5,414.0,3.0,0.121,0.817,0.744,2.0,2.684,10.0
002,0.897,0.035,0.074,0.008,0.632,0.639,0.635,0.637,0.613,0.631,0.009,6,599.0,4.0,0.06,0.858,0.513,5.0,1.024,10.0
002,0.567,0.059,0.046,0.01,0.626,0.635,0.645,0.634,0.612,0.63,0.011,7,553.0,6.0,0.122,0.975,0.509,1.0,2.29,10.0
002,1.403,0.089,0.121,0.008,0.628,0.638,0.637,0.638,0.609,0.63,0.011,8,745.0,5.0,0.024,0.679,0.624,4.0,1.352,10.0
002,0.972,0.022,0.096,0.003,0.623,0.637,0.639,0.637,0.612,0.63,0.01,9,519.0,5.0,0.043,0.922,0.529,7.0,0.847,10.0
002,0.503,0.033,0.037,0.003,0.623,0.641,0.639,0.633,0.609,0.629,0.012,10,302.0,4.0,0.098,0.74,0.794,9.0,0.505,10.0
002,0.465,0.027,0.034,0.003,0.626,0.637,0.631,0.634,0.617,0.629,0.007,11,312.0,3.0,0.117,0.606,0.555,7.0,1.903,10.0
002,0.979,0.061,0.077,0.004,0.624,0.639,0.636,0.636,0.611,0.629,0.01,12,881.0,7.0,0.071,0.955,0.593,4.0,2.408,10.0
002,1.05,0.055,0.068,0.005,0.621,0.641,0.637,0.638,0.608,0.629,0.013,13,764.0,3.0,0.079,0.722,0.881,3.0,1.16,10.0
002,1.379,0.29,0.085,0.013,0.63,0.636,0.622,0.635,0.621,0.629,0.007,14,940.0,3.0,0.126,0.62,0.513,5.0,2.888,10.0
002,1.255,0.055,0.13,0.01,0.624,0.635,0.637,0.633,0.607,0.627,0.011,15,542.0,6.0,0.014,0.692,0.995,6.0,2.23,10.0
